agg_trade_id,price,quantity,first_trade_id,last_trade_id,transact_time,is_buyer_maker,bucket_time,create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
80269959,0.0862,186.0,262025067,262025067,2026-01-02 05:40:33.325,True,2026-01-02 05:40:00,2026-01-02 05:40:00,POPCATUSDT,50092636.0,4320502.87908536,1.79815456,1.534663,1.7970696,0.647495
80269960,0.0862,580.0,262025068,262025068,2026-01-02 05:40:37.166,True,2026-01-02 05:40:00,2026-01-02 05:40:00,POPCATUSDT,50092636.0,4320502.87908536,1.79815456,1.534663,1.7970696,0.647495
80269961,0.0863,197.0,262025069,262025069,2026-01-02 05:40:37.742,False,2026-01-02 05:40:00,2026-01-02 05:40:00,POPCATUSDT,50092636.0,4320502.87908536,1.79815456,1.534663,1.7970696,0.647495
80269962,0.0863,1401.0,262025070,262025070,2026-01-02 05:40:41.650,False,2026-01-02 05:40:00,2026-01-02 05:40:00,POPCATUSDT,50092636.0,4320502.87908536,1.79815456,1.534663,1.7970696,0.647495
80269963,0.0863,633.0,262025071,262025071,2026-01-02 05:40:45.567,False,2026-01-02 05:40:00,2026-01-02 05:40:00,POPCATUSDT,50092636.0,4320502.87908536,1.79815456,1.534663,1.7970696,0.647495
80269964,0.0862,79946.0,262025072,262025077,2026-01-02 05:40:47.445,True,2026-01-02 05:40:00,2026-01-02 05:40:00,POPCATUSDT,50092636.0,4320502.87908536,1.79815456,1.534663,1.7970696,0.647495
80269965,0.0861,6647.0,262025078,262025084,2026-01-02 05:40:47.526,True,2026-01-02 05:40:00,2026-01-02 05:40:00,POPCATUSDT,50092636.0,4320502.87908536,1.79815456,1.534663,1.7970696,0.647495
80269966,0.0861,929.0,262025085,262025085,2026-01-02 05:40:47.727,True,2026-01-02 05:40:00,2026-01-02 05:40:00,POPCATUSDT,50092636.0,4320502.87908536,1.79815456,1.534663,1.7970696,0.647495
80269967,0.0861,592.0,262025086,262025087,2026-01-02 05:40:47.829,True,2026-01-02 05:40:00,2026-01-02 05:40:00,POPCATUSDT,50092636.0,4320502.87908536,1.79815456,1.534663,1.7970696,0.647495
80269968,0.0861,11670.0,262025088,262025091,2026-01-02 05:40:47.835,False,2026-01-02 05:40:00,2026-01-02 05:40:00,POPCATUSDT,50092636.0,4320502.87908536,1.79815456,1.534663,1.7970696,0.647495
